Day,Date,Time,CO2_PPM
Friday,15/11/2019,11:53,726.81
Friday,15/11/2019,19:00,746.14
Saturday,16/11/2019,11:21,707.12
Saturday,16/11/2019,12:07,692.2
Saturday,16/11/2019,18:11,744.09
Sunday,17/11/2019,10:23,722.81
Sunday,17/11/2019,14:00,671.2
Sunday,17/11/2019,19:08,614.42
Monday,18/11/2019,11:16,674.18
Monday,18/11/2019,16:25,671.92
Monday,18/11/2019,20:10,693.76
Tuesday,19/11/2019,10:38,671.92
Tuesday,19/11/2019,17:48,723.09
Tuesday,19/11/2019,21:34,703.82
Wednesday,20/11/2019,10:45,706.47
Wednesday,20/11/2019,14:54,720.64
Wednesday,20/11/2019,22:25,717.59
Thursday,21/11/2019,10:26,711.17
Thursday,21/11/2019,17:47,715.74
Thursday,21/11/2019,23:03,722.8
Friday,22/11/2019,10:40,715.36
Friday,22/11/2019,15:01,693.76
Friday,22/11/2019,22:44,731.65
Saturday,23/11/2019,10:30,704.48
Saturday,23/11/2019,13:34,727.63
Saturday,23/11/2019,22:12,731.65
Sunday,24/11/2019,10:33,732.44
Sunday,24/11/2019,16:41,740.56
Sunday,24/11/2019,23:00,729.95
Monday,25/11/2019,10:00,728.11
Monday,25/11/2019,13:41,735.2
Monday,25/11/2019,22:37,733.59
Tuesday,26/11/2019,10:24,704.36
Tuesday,26/11/2019,14:30,737.88
Tuesday,26/11/2019,18:08,661.78
Wednesday,27/11/2019,10:14,734.68
Wednesday,27/11/2019,12:30,711.66
Wednesday,27/11/2019,20:18,733.21
Thursday,28/11/2019,10:45,735.88
Thursday,28/11/2019,15:07,731.65
Thursday,28/11/2019,20:46,735.03
Friday,29/11/2019,10:44,733.32
Friday,29/11/2019,15:50,734.15
Friday,29/11/2019,18:24,727.14
Saturday,30/11/2019,11:19,731.85
Saturday,30/11/2019,14:43,732.64
Saturday,30/11/2019,21:28,723.95
Sunday,1/12/2019,10:23,719.32
Sunday,1/12/2019,16:59,734.32
Sunday,1/12/2019,19:52,730.6
Monday,2/12/2019,11:00,743.61
Monday,2/12/2019,15:22,734.86
Monday,2/12/2019,19:20,728.28
Tuesday,3/12/2019,10:30,726.12
Tuesday,3/12/2019,16:37,705.96
Tuesday,3/12/2019,20:03,728.58
Wednesday,4/12/2019,10:48,727.63
Wednesday,4/12/2019,14:53,715.36
Wednesday,4/12/2019,18:55,723.68
Thursday,5/12/2019,11:29,735.5
Thursday,5/12/2019,17:46,734.15
Thursday,5/12/2019,19:02,722.5
Friday,6/12/2019,10:30,732.64
Friday,6/12/2019,14:35,717.94
Friday,6/12/2019,18:06,729.27
Saturday,7/12/2019,11:17,739.79
Saturday,7/12/2019,16:47,737.16
Saturday,7/12/2019,19:00,735.88
Sunday,8/12/2019,10:36,742.95
Sunday,8/12/2019,17:00,730.81
Sunday,8/12/2019,18:25,734.68
Monday,9/12/2019,10:55,734.68
Monday,9/12/2019,14:55,732.44
Monday,9/12/2019,18:20,737.16
Tuesday,10/12/2019,10:39,741.31
Tuesday,10/12/2019,12:05,730.5
Tuesday,10/12/2019,19:02,726.63
Wednesday,11/12/2019,10:47,728.82
Wednesday,11/12/2019,13:43,726.63
Wednesday,11/12/2019,18:42,723.09
Thursday,12/12/2019,10:26,732.44
Thursday,12/12/2019,12:07,722.19
Thursday,12/12/2019,19:55,732.04
Friday,13/12/2019,11:00,739.49
Friday,13/12/2019,14:40,739.22
Friday,13/12/2019,19:05,716.86
Saturday,14/12/2019,10:35,739.22
Saturday,14/12/2019,13:52,739.22
Saturday,14/12/2019,19:06,717.23
Sunday,15/12/2019,10:33,742.27
Sunday,15/12/2019,13:49,734.68
Sunday,15/12/2019,19:12,722.19
