Day,Date,Time,CO2_PPM
Friday,15/11/2019,11:53:00,726.81
Friday,15/11/2019,19:00:00,746.14
Saturday,16/11/2019,11:21:00,707.12
Saturday,16/11/2019,12:07:00,692.2
Saturday,16/11/2019,18:11:00,744.09
Sunday,17/11/2019,10:23:00,722.81
Sunday,17/11/2019,14:00:00,671.2
Sunday,17/11/2019,19:08:00,614.42
Monday,18/11/2019,11:16:00,674.18
Monday,18/11/2019,16:25:00,671.92
Monday,18/11/2019,20:10:00,693.76
Tuesday,19/11/2019,10:38:00,671.92
Tuesday,19/11/2019,17:48:00,723.09
Tuesday,19/11/2019,21:34:00,703.82
Wednesday,20/11/2019,10:45:00,706.47
Wednesday,20/11/2019,14:54:00,720.64
Wednesday,20/11/2019,22:25:00,717.59
Thursday,21/11/2019,10:26:00,711.17
Thursday,21/11/2019,17:47:00,715.74
Thursday,21/11/2019,23:03:00,722.8
Friday,22/11/2019,10:40:00,715.36
Friday,22/11/2019,15:01:00,693.76
Friday,22/11/2019,22:44:00,731.65
Saturday,23/11/2019,22:30:00,704.48
Saturday,23/11/2019,13:34:00,727.63
Saturday,23/11/2019,22:12:00,731.65
Sunday,24/11/2019,9:33:00,732.44
Sunday,24/11/2019,16:41:00,740.56
Sunday,24/11/2019,23:00:00,729.95
Monday,25/11/2019,9:56:00,728.11
Monday,25/11/2019,13:41:00,735.2
Monday,25/11/2019,22:37:00,733.59
Tuesday,26/11/2019,22:24:00,704.36
Tuesday,26/11/2019,14:30:00,737.88
Tuesday,26/11/2019,18:08:00,661.78
Wednesday,27/11/2019,10:14:00,734.68
Wednesday,27/11/2019,12:30:00,711.66
Wednesday,27/11/2019,20:18:00,733.21
Thursday,28/11/2019,9:45:00,735.88
Thursday,28/11/2019,15:07:00,731.65
Thursday,28/11/2019,20:46:00,735.03
Friday,29/11/2019,22:44:00,733.32
Friday,29/11/2019,15:50:00,734.15
Friday,29/11/2019,18:24:00,727.14
Saturday,30/11/2019,11:19:00,731.85
Saturday,30/11/2019,14:43:00,732.64
Saturday,30/11/2019,21:28:00,723.95
Sunday,1/12/2019,10:23:00,719.32
Sunday,1/12/2019,16:59:00,734.32
Sunday,1/12/2019,19:52:00,730.6
Monday,2/12/2019,11:00:00,743.61
Monday,2/12/2019,15:22:00,734.86
Monday,2/12/2019,19:20:00,728.28
Tuesday,3/12/2019,10:30:00,726.12
Tuesday,3/12/2019,16:37:00,705.96
Tuesday,3/12/2019,20:03:00,728.58
Wednesday,4/12/2019,22:48:00,727.63
Wednesday,4/12/2019,14:53:00,715.36
Wednesday,4/12/2019,18:55:00,723.68
Thursday,5/12/2019,11:29:00,735.5
Thursday,5/12/2019,17:46:00,734.15
Thursday,5/12/2019,19:02:00,722.5
Friday,6/12/2019,10:30:00,732.64
Friday,6/12/2019,14:35:00,717.94
Friday,6/12/2019,18:06:00,729.27
Saturday,7/12/2019,11:17:00,739.79
Saturday,7/12/2019,16:47:00,737.16
Saturday,7/12/2019,19:00:00,735.88
Sunday,8/12/2019,9:36:00,742.95
Sunday,8/12/2019,17:00:00,730.81
Sunday,8/12/2019,18:25:00,734.68
Monday,9/12/2019,10:55:00,734.68
Monday,9/12/2019,14:55:00,732.44
Monday,9/12/2019,18:20:00,737.16
Tuesday,10/12/2019,10:39:00,741.31
Tuesday,10/12/2019,12:05:00,730.5
Tuesday,10/12/2019,19:02:00,726.63
Wednesday,11/12/2019,10:47:00,728.82
Wednesday,11/12/2019,13:43:00,726.63
Wednesday,11/12/2019,18:42:00,723.09
Thursday,12/12/2019,10:26:00,732.44
Thursday,12/12/2019,12:07:00,722.19
Thursday,12/12/2019,19:55:00,732.04
Friday,13/12/2019,11:00:00,739.49
Friday,13/12/2019,14:40:00,739.22
Friday,13/12/2019,19:05:00,716.86
Saturday,14/12/2019,10:35:00,739.22
Saturday,14/12/2019,13:52:00,739.22
Saturday,14/12/2019,19:06:00,717.23
Sunday,15/12/2019,9:33:00,742.27
Sunday,15/12/2019,13:49:00,734.68
Sunday,15/12/2019,19:12:00,722.19
